LibraryElement, DeclaringType, EntityKind, Count, Status
TailwindPOS.ucNumbersPad+OnEnterEventEventArgs,TailwindPOS.ucNumbersPad+OnEnterEventEventArgs,Type,4,1
TailwindPOS.ucNumbersPad+OnEnterEventEventArgs..ctor,TailwindPOS.ucNumbersPad+OnEnterEventEventArgs,Method,2,1
TailwindPOS.MainModule.SaveItem.TempParameter_5,TailwindPOS.MainModule.SaveItem.TempParameter_5,Type,7,1
TailwindPOS.MainModule.SaveItem.TempParameter_6,TailwindPOS.MainModule.SaveItem.TempParameter_6,Type,7,1
TailwindPOS.MainModule.SaveItem.TempParameter_3,TailwindPOS.MainModule.SaveItem.TempParameter_3,Type,7,1
TailwindPOS.ucNumbersPad+OnEnterEventEventArgs.Text_Renamed,TailwindPOS.ucNumbersPad+OnEnterEventEventArgs,Field,2,1
TailwindPOS.MainModule.SaveItem.TempParameter_4,TailwindPOS.MainModule.SaveItem.TempParameter_4,Type,7,1
TailwindPOS.MainModule.SaveItem.TempParameter_2,TailwindPOS.MainModule.SaveItem.TempParameter_2,Type,7,1
Tailwind_WinFormsSupport,Tailwind_WinFormsSupport,Type,2,1
System.StringComparer,System.StringComparer,Type,4,1
System.StringComparer.OrdinalIgnoreCase,System.StringComparer,Property,4,1
TailwindPOS.frmPause.cbReturn_Click.Total,TailwindPOS.frmPause.cbReturn_Click.Total,Type,5,1
TailwindPOS.MainModule.ValidateUserPassword.result,TailwindPOS.MainModule.ValidateUserPassword.result,Type,2,1
TailwindPOS.MainModule.SaveItem.TempParameter,TailwindPOS.MainModule.SaveItem.TempParameter,Type,7,1
TailwindPOS.MainModule.SaveNewCustomer.County,TailwindPOS.MainModule.SaveNewCustomer.County,Type,1,1
UpgradeHelpers.DB.ADO.ADORecordSetHelper,UpgradeHelpers.DB.ADO.ADORecordSetHelper,Type,20,1
UpgradeHelpers.DB.ADO.ADORecordSetHelper.MoveNext,UpgradeHelpers.DB.ADO.ADORecordSetHelper,Method,4,1
UpgradeHelpers.DB.ADO.ADORecordSetHelper.Open,UpgradeHelpers.DB.ADO.ADORecordSetHelper,Method,18,1
UpgradeHelpers.DB.ADO.ADORecordSetHelper..ctor,UpgradeHelpers.DB.ADO.ADORecordSetHelper,Method,2,1
TailwindPOS.MainModule.RegisterBreakEnd.objcommand,TailwindPOS.MainModule.RegisterBreakEnd.objcommand,Type,13,1
UpgradeHelpers.DB.ADO.ADORecordSetHelper.CursorLocation,UpgradeHelpers.DB.ADO.ADORecordSetHelper,Property,2,1
UpgradeHelpers.DB.ADO.ADORecordSetHelper.ActiveConnection,UpgradeHelpers.DB.ADO.ADORecordSetHelper,Property,2,1
TailwindPOS.frmPayment.SumPayments.index,TailwindPOS.frmPayment.SumPayments.index,Type,3,1
TailwindPOS.MainModule.ValidateUserPasswordAdmin.password,TailwindPOS.MainModule.ValidateUserPasswordAdmin.password,Type,1,1
System.Windows.Forms.MessageBoxButtons,System.Windows.Forms.MessageBoxButtons,Type,3,1
System.Reflection.MemberInfo.DeclaringType,System.Reflection.MemberInfo,Property,7,1
System.Windows.Forms.MessageBoxButtons.YesNo,System.Windows.Forms.MessageBoxButtons,Field,6,1
System.Runtime.InteropServices.CharSet.Ansi,System.Runtime.InteropServices.CharSet,Field,1,1
TailwindPOS.frmSales.ConfirmVoidItem.result,TailwindPOS.frmSales.ConfirmVoidItem.result,Type,2,1
TailwindPOS.ucNumbersPad+OnEnterEventHandler.Invoke,TailwindPOS.ucNumbersPad+OnEnterEventHandler,Method,2,1
TailwindPOS.Config.ReadConfigSetting.tempRefParam,TailwindPOS.Config.ReadConfigSetting.tempRefParam,Type,1,1
System.Runtime.InteropServices.CharSet,System.Runtime.InteropServices.CharSet,Type,1,1
TailwindPOS.ucNumbersPad+OnEnterEventHandler,TailwindPOS.ucNumbersPad+OnEnterEventHandler,Type,3,1
TailwindPOS.MainModule.RegisterBreakEnd.EndTime,TailwindPOS.MainModule.RegisterBreakEnd.EndTime,Type,3,1
TailwindPOS.frmSales.GetItems.tempForEndVar,TailwindPOS.frmSales.GetItems.tempForEndVar,Type,1,1
TailwindPOS.MainModule.StartShiftWithAmount.command,TailwindPOS.MainModule.StartShiftWithAmount.command,Type,13,1
UpgradeHelpers.DB.ADO.CursorLocationEnum.adUseClient,UpgradeHelpers.DB.ADO.CursorLocationEnum,Field,2,1
UpgradeHelpers.DB.ADO.CursorLocationEnum,UpgradeHelpers.DB.ADO.CursorLocationEnum,Type,2,1
TailwindPOS.MainModule.ValidateUserPasswordAdmin.TempParameter,TailwindPOS.MainModule.ValidateUserPasswordAdmin.TempParameter,Type,7,1
TailwindPOS.frmPayment.set_TransactionAmount.value,TailwindPOS.frmPayment.set_TransactionAmount.value,Type,1,1
TailwindPOS.frmSales.SearchAndAddProduct.ProductPrice,TailwindPOS.frmSales.SearchAndAddProduct.ProductPrice,Type,2,1
TailwindPOS.MainModule.FindCustomers.TempParameter,TailwindPOS.MainModule.FindCustomers.TempParameter,Type,7,1
System.Windows.Forms.FormBorderStyle.FixedDialog,System.Windows.Forms.FormBorderStyle,Field,6,1
System.Windows.Forms.FormBorderStyle,System.Windows.Forms.FormBorderStyle,Type,3,1
TailwindPOS.ucLettersPad+OnEnterEventEventArgs..ctor.Text_Renamed,TailwindPOS.ucLettersPad+OnEnterEventEventArgs..ctor.Text_Renamed,Type,1,1
System.Drawing.Point..ctor,System.Drawing.Point,Method,171,1
System.Drawing.Point,System.Drawing.Point,Type,171,1
System.ComponentModel.ComponentResourceManager..ctor,System.ComponentModel.ComponentResourceManager,Method,9,1
System.ComponentModel.ComponentResourceManager,System.ComponentModel.ComponentResourceManager,Type,18,1
